ProgramName,Mitigation,Action,RemovalAllowed,ID,Comment
msedge.exe,DisableExtensionPoints,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - This mitigation disables various extension points for an application which might be used to establish persistence or elevate privileges of malicious content.
msedge.exe,CFG,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - Enabled by default System-Wide
msedge.exe,StrictCFG,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - In strict mode all binaries loaded into the process must be compiled for Control Flow Guard (or have no executable code in them - such as resource dlls) in order to be loaded.
msedge.exe,MicrosoftSignedOnly,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - (a.k.a Code integrity guard) ensures that all binaries loaded into a process are digitally signed by Microsoft.
msedge.exe,AllowStoreSignedBinaries,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - Applications that are distributed by the Microsoft Store are digitally signed by the Microsoft Store and adding this configuration allows binaries that have gone through the store certification process to be loaded by the application.
msedge.exe,EnforceModuleDependencySigning,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - helps protect against attacks that attempt to substitute code for dlls that are statically linked by Windows binaries.
msedge.exe,BlockRemoteImageLoads,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - Prevents the application from loading images from remote devices.
msedge.exe,BlockLowLabelImageLoads,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - prevents the application from loading files that are untrusted typically because they've been downloaded from the internet from a sandboxed browser.
msedge.exe,UserShadowStack,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - user-mode Hardware-enforced Stack Protection is enabled for the process in compatibility mode. This means that the CPU verifies function return addresses at runtime by employing a shadow stack mechanism if supported by the hardware. In compatibility mode only shadow stack violations occurring in modules that are considered compatible with shadow stacks (CETCOMPAT) are fatal. For a module to be considered CETCOMPAT it needs to be either compiled with CETCOMPAT for binaries or marked using SetProcessDynamicEnforcedCetCompatibleRanges for dynamic code.
msedge.exe,UserShadowStackStrictMode,On,True,019a8e3c-2def-78a2-94dd-36051c051214,Edge All Channels - All shadow stack violations are fatal - No compatibility mode - See https://learn.microsoft.com/windows/win32/api/winnt/ns-winnt-process_mitigation_user_shadow_stack_policy
explorer.exe,StrictHandle,On,True,019a8e3c-6aec-7fb5-9be8-2a9043740737,Explorer - A mitigation that helps protect against an attacker using an existing handle to access a protected object.
explorer.exe,DisableExtensionPoints,On,True,019a8e3c-6aec-7fb5-9be8-2a9043740737,Explorer - This mitigation disables various extension points for an application which might be used to establish persistence or elevate privileges of malicious content.
vmcompute.exe,CFG,On,True,019a8e3c-ec59-78a1-930a-2128dafb7c11,part of the Hyper-V Host Compute Service - Enabled by default System-Wide
vmcompute.exe,StrictCFG,On,True,019a8e3c-ec59-78a1-930a-2128dafb7c11,part of the Hyper-V Host Compute Service - In strict mode all binaries loaded into the process must be compiled for Control Flow Guard (or have no executable code in them - such as resource dlls) in order to be loaded.
vmwp.exe,CFG,On,True,019a8e3d-3a49-79f9-bdbd-6aa68d3dfdbc,Virtual Machine Worker Process - Enabled by default System-Wide
vmwp.exe,StrictCFG,On,True,019a8e3d-3a49-79f9-bdbd-6aa68d3dfdbc,Virtual Machine Worker Process - In strict mode all binaries loaded into the process must be compiled for Control Flow Guard (or have no executable code in them - such as resource dlls) in order to be loaded.
QuickAssist.exe,DisableExtensionPoints,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - This mitigation disables various extension points for an application which might be used to establish persistence or elevate privileges of malicious content.
QuickAssist.exe,StrictHandle,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - A mitigation that helps protect against an attacker using an existing handle to access a protected object.
QuickAssist.exe,BlockDynamicCode,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - (a.k.a Arbitrary code guard) protects an application from executing dynamically generated code (code that isn't loaded for example from the exe itself or a dll).
QuickAssist.exe,MicrosoftSignedOnly,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - (a.k.a Code integrity guard) ensures that all binaries loaded into a process are digitally signed by Microsoft.
QuickAssist.exe,AllowStoreSignedBinaries,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - Applications that are distributed by the Microsoft Store are digitally signed by the Microsoft Store and adding this configuration allows binaries that have gone through the store certification process to be loaded by the application.
QuickAssist.exe,EnforceModuleDependencySigning,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - helps protect against attacks that attempt to substitute code for dlls that are statically linked by Windows binaries.
QuickAssist.exe,DisableNonSystemFonts,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - Only fonts that are installed into the windows\fonts directory will be loaded for processing by GDI.
QuickAssist.exe,BlockRemoteImageLoads,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - Prevents the application from loading images from remote devices.
QuickAssist.exe,BlockLowLabelImageLoads,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - prevents the application from loading files that are untrusted typically because they've been downloaded from the internet from a sandboxed browser.
QuickAssist.exe,EnableExportAddressFilter,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - mitigates the risk of malicious code looking at the export address table of all loaded modules to find modules that contain useful APIs for their attack.
QuickAssist.exe,EnableExportAddressFilterPlus,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - (.a.k.a) EAF+ adds protections for other commonly attacked modules by expanding the support of EAF
QuickAssist.exe,EnableImportAddressFilter,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - helps mitigate the risk of an adversary changing the control flow of an application by modifying the import address table (IAT) to redirect to arbitrary code of the attacker's choice when that function is called.
QuickAssist.exe,EnableRopStackPivot,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - helps protect against the Stack Pivot attack; a ROP attack where an attacker creates a fake stack in heap memory and then tricks the application into returning into the fake stack that controls the flow of execution.
QuickAssist.exe,EnableRopCallerCheck,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - a mitigation for return-oriented programming (ROP) techniques that validates that sensitive APIs were called from a valid caller.
QuickAssist.exe,UserShadowStack,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - user-mode Hardware-enforced Stack Protection is enabled for the process in compatibility mode. This means that the CPU verifies function return addresses at runtime by employing a shadow stack mechanism if supported by the hardware. In compatibility mode only shadow stack violations occurring in modules that are considered compatible with shadow stacks (CETCOMPAT) are fatal. For a module to be considered CETCOMPAT it needs to be either compiled with CETCOMPAT for binaries or marked using SetProcessDynamicEnforcedCetCompatibleRanges for dynamic code.
QuickAssist.exe,UserShadowStackStrictMode,On,True,019a8e3d-83d1-7451-91f9-93a844f004e3,Quick Assist - All shadow stack violations are fatal - No compatibility mode - See https://learn.microsoft.com/windows/win32/api/winnt/ns-winnt-process_mitigation_user_shadow_stack_policy
