NameSpace,Class,Authorized,Comment
root\cimv2\mdm\dmmap,MDM_Policy_Result01_AboveLock02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Accounts02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_ActiveXControls02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_ApplicationDefaults02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_ApplicationManagement02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_AppRuntime02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_AppVirtualization02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Audit02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Authentication02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Autoplay02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Bitlocker02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_BITS02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Bluetooth02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Browser02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Camera02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Cellular02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Connectivity02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_ControlPolicyConflict02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_CredentialProviders02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_CredentialsDelegation02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_CredentialsUI02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Cryptography02,TRUE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_DataProtection02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_DataUsage02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_Defender02,FALSE,
root\cimv2\mdm\dmmap,MDM_Policy_Result01_DeliveryOptimization02,FALSE,
