Category,Section,Path,Value,Name
LockScreen,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\InactivityTimeoutSecs,"4,120",Machine inactivity limit
LockScreen,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DisableCAD,"4,0",Interactive logon: Do not require CTRL+ALT+DEL
LockScreen,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\MaxDevicePasswordFailedAttempts,"4,5",Interactive logon: Machine account lockout threshold
LockScreen,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DontDisplayLockedUserId,"4,4",Interactive logon: Display user information when the session is locked
LockScreen,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DontDisplayUserName,"4,1",Interactive logon: Don't display username at sign-in
LockScreen,System Access,LockoutBadCount,5,Account lockout threshold
LockScreen,System Access,LockoutDuration,1440,Account lockout duration
LockScreen,System Access,ResetLockoutCount,1440,Reset account lockout counter after
LockScreen,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DontDisplayLastUserName,"4,1",Interactive logon: Don't display last signed-in
UserAccountControl,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin,"4,2",UAC: Behavior of the elevation prompt for administrators in Admin Approval Mode: Prompt for Consent on the Secure Desktop
UserAccountControl,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorUser,"4,1",UAC: Behavior of the elevation prompt for standard users: Prompt for Credentials on the Secure Desktop
UserAccountControl,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ValidateAdminCodeSignatures,"4,1",UAC: Only elevate executables that are signed and Validated
UserAccountControl,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorEnhancedAdmin,"4,1",UAC: Behavior of the elevation prompt for administrators in Enhanced Privilege Protection Mode: Prompt for Credentials on the Secure Desktop
UserAccountControl,Registry Values,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\TypeOfAdminApprovalMode,"4,2",UAC: The type of Admin Approval Mode to be Admin Approval Mode with enhanced privilege protection
WindowsNetworking,Registry Values,MACHINE\System\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths\Machine,"7,",Network access: Remotely accessible registry paths
WindowsNetworking,Registry Values,MACHINE\System\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths\Machine,"7,",Network access: Remotely accessible registry paths and subpaths
Miscellaneous,Registry Values,MACHINE\Software\Policies\Microsoft\Cryptography\ForceKeyProtection,"4,1",System Cryptography: Force strong key protection for user keys stored on the computer
